"id","station_id_id","stop_id_id","station_name","stop_desc","run_number","route_id","destination_id","destination_name","route_direction_code","prediction_generated","expected_arrival","is_approaching","is_scheduled","is_fit","degree","is_delayed","time_scraped"
96555,30037,30037,"Sox-35th","Service toward 95th",804,"Red",30037,"95th/Dan Ryan",5,"2012-11-02 06:07:34-05","2012-11-02 06:24:34-05",0,0,0,2,0,"2012-11-21 00:00:00-06"
96556,30036,30036,"Sox-35th","Service toward Howard",906,"Red",30036,"Howard",1,"2012-11-02 06:07:43-05","2012-11-02 06:09:43-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
96557,30036,30036,"Sox-35th","Service toward Howard",941,"Red",30036,"Howard",1,"2012-11-02 06:07:56-05","2012-11-02 06:17:56-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
96558,30036,30036,"Sox-35th","Service toward Howard",802,"Red",30036,"Howard",1,"2012-11-02 06:07:48-05","2012-11-02 06:24:48-05",0,0,0,2,0,"2012-11-21 00:00:00-06"
96559,30170,30170,"Thorndale","Service toward 95th",815,"Red",30170,"95th/Dan Ryan",5,"2012-11-02 06:06:25-05","2012-11-02 06:09:25-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74687,30238,30238,"47th","Service toward 95th",934,"Red",30238,"95th/Dan Ryan",5,"2012-11-01 02:07:37-05","2012-11-01 02:08:37-05",1,0,0,0,0,"2012-11-21 00:00:00-06"
74688,30238,30238,"47th","Service toward 95th",840,"Red",30238,"95th/Dan Ryan",5,"2012-11-01 02:07:19-05","2012-11-01 02:25:19-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74689,30237,30237,"47th","Service toward Howard",837,"Red",30237,"Howard",1,"2012-11-01 02:07:43-05","2012-11-01 02:20:43-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74690,30178,30178,"63rd","Service toward 95th",934,"Red",30178,"95th/Dan Ryan",5,"2012-11-01 02:07:37-05","2012-11-01 02:12:37-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74691,30177,30177,"63rd","Service toward Howard",837,"Red",30177,"Howard",1,"2012-11-01 02:07:43-05","2012-11-01 02:16:43-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74692,30192,30192,"69th","Service toward 95th",934,"Red",30192,"95th/Dan Ryan",5,"2012-11-01 02:07:37-05","2012-11-01 02:16:37-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74693,30191,30191,"69th","Service toward Howard",837,"Red",30191,"Howard",1,"2012-11-01 02:07:43-05","2012-11-01 02:12:43-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74694,30047,30047,"79th","Service toward 95th",934,"Red",30047,"95th/Dan Ryan",5,"2012-11-01 02:07:37-05","2012-11-01 02:18:37-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74695,30046,30046,"79th","Service toward Howard",837,"Red",30046,"Howard",1,"2012-11-01 02:07:43-05","2012-11-01 02:09:43-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74696,30276,30276,"87th","Service toward 95th",934,"Red",30276,"95th/Dan Ryan",5,"2012-11-01 02:07:37-05","2012-11-01 02:22:37-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74697,30275,30275,"87th","Service toward Howard",837,"Red",30275,"Howard",1,"2012-11-01 02:07:43-05","2012-11-01 02:08:43-05",1,0,0,0,0,"2012-11-21 00:00:00-06"
74698,30088,30088,"95th/Dan Ryan","Service toward Howard",838,"Red",30088,"Howard",1,"2012-11-01 02:08:00-05","2012-11-01 02:20:00-05",0,1,0,0,0,"2012-11-21 00:00:00-06"
74699,30274,30274,"Addison","Service toward 95th",936,"Red",30274,"95th/Dan Ryan",5,"2012-11-01 02:05:55-05","2012-11-01 02:19:55-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74700,30273,30273,"Addison","Service toward Howard",835,"Red",30273,"Howard",1,"2012-11-01 02:07:52-05","2012-11-01 02:18:52-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74701,30230,30230,"Argyle","Service toward 95th",936,"Red",30230,"95th/Dan Ryan",5,"2012-11-01 02:05:55-05","2012-11-01 02:10:55-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74702,30229,30229,"Argyle","Service toward Howard",834,"Red",30229,"Howard",1,"2012-11-01 02:07:43-05","2012-11-01 02:10:43-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
